Investigador,Nombre del producto,Tipo,Autores,Lugar,Editorial,DOI,ISSN,Revista,Año,Volumen,Fasciculo,Página inicial,Página final,Palabras,Area,Sectores
Edison Humberto Osorio López,Alkaloid metabolite profiles by GC/MS and acetylcholinesterase inhibitory activities with binding-mode predictions of five Amaryllidaceae plants,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, doi:10.1016/j.jpba.2014.09.022, 1873-264X,Journal of Pharmaceutical and Biomedical Analysis,2015, 102, , 222, 228,,,
Edison Humberto Osorio López,Nonclassical 21-Homododecahedryl Cation Rearrangement Revisited,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, American Chemical Society, 10.1021/acs.orglett.5b03558, 1523-7060,Organic Letters,2016, 18, 5, 1140, 1142,,,
Edison Humberto Osorio López,Synthesis and characterization of thermoluminescent glass-ceramics Li2O-Al2O3-SiO2:CeO2,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, 10.1016/j.jlumin.2009.03.006, 0022-2313,Journal of Luminescence,2009, 129, 8, 836, 839,,,
Edison Humberto Osorio López,Minimizing the Risk of Reporting False Aromaticity and Antiaromaticity in Inorganic Heterocycles Following Magnetic Criteria,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, American Chemical Society, 10.1021/ic4030684, 0020-1669,Inorganic Chemistry,2014, 117, 26, 3579, 3585,,,
Edison Humberto Osorio López,somerization Energy Decomposition Analysis for Highly Ionic Systems: Case Study of Starlike E5Li7+ Clusters,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Alemania, Wiley-V C H Verlag Gmbh, 10.1002/chem.201203329, 0947-6539,Chemistry - A European Journal,2013, 19, 7, 2305, 2310,,,
Edison Humberto Osorio López,Why is quercetin a better antioxidant than taxifolin? Theoretical study of mechanisms involving activated forms,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Alemania, Springer Netherlands, 10.1007/s00894-012-1732-5, 0948-5023,Journal of Molecular Modeling,2013, 19, 5, 2165, 2172,,,
Edison Humberto Osorio López,Do planar tetracoordinate tin complexes really exist?,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Inglaterra,, 10.1039/C3DT50943E, 1364-5447,Dalton Transactions,2013, 42, N/A, 11180, 11185,,,
Edison Humberto Osorio López,Analysis of Why Boron Avoids sp2 Hybridization and Classical Structures in the BnHn+2 Series,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Alemania, Wiley-V C H Verlag Gmbh, 10.1002/chem.201200506, 0947-6539,Chemistry - A European Journal,2012, 18, 31, 9677, 9681,,,
Edison Humberto Osorio López,"Scalar and Spin−Orbit Relativistic Corrections to the NICS and the Induced Magnetic Field: The case of the E122− Spherenes (E = Ge, Sn, Pb)",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, American Chemical Society, 10.1021/ct100304c, 1549-9618,Journal of Chemical Theory and Computation,2010, 6, 9, 2701, 2705,,,
Edison Humberto Osorio López,Theoretical study of the Si5−n(BH)n2− and Na(Si5−n(BH)n)− (n = 0¿5) systems,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Inglaterra, Royal Society of Chemistry, 10.1039/C2CP42674A, 1463-9076,Physical Chemistry Chemical Physics,2012, 14, N/A, 16326, 16330,,,
Edison Humberto Osorio López,Theoretical design of stable small aluminium¿magnesium binary clusters,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Inglaterra, Royal Society of Chemistry, 10.1039/C2CP42015E, 1463-9076,Physical Chemistry Chemical Physics,2013, 15, N/A, 2222, 2229,,,
Edison Humberto Osorio López,Exploring the Potential Energy Surface of E2P4 Clusters (E=Group 13 Element): The Quest for Inverse Carbon-Free Sandwiches,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Alemania, Wiley-V C H Verlag Gmbh, DOI: 10.1002/chem.201304685, 0947-6539,Chemistry - A European Journal,2014, 20, 16, 4583, 4590,,,
Edison Humberto Osorio López,B182−: a quasi-planar bowl member of the Wankel motor family,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Inglaterra, Royal Society of Chemistry, 10.1039/C4CC02225D, 1364-548X,Chemical Communications,2014, 50, N/A, 8140, 8143,,,
Edison Humberto Osorio López,Stop rotating! One substitution halts the B19− motor,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Royal Society of Chemistry, 10.1039/C4CC03698K, 1364-548X,Chemical Communications,2014, 50, N/A, 10680, 10682,,,
Edison Humberto Osorio López,Assembling Small Silicon Clusters Using Criteria of Maximum Matching of the Fukui Functions,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, American Chemical Society, 10.1021/ct200643z, 1549-9618,Journal of Chemical Theory and Computation,2011, 7, 12, 3995, 4001,,,
Edison Humberto Osorio López,Structural evolution of small gold clusters doped by one and two boron atoms,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos," John Wiley & Sons, Inc.", 10.1002/jcc.23748, 1096-987X,Journal of Computational Chemistry,2014, 35, 32, 2288, 2296,,,
Edison Humberto Osorio López,On the nature of CH6 2+,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  India, Medpharm Scientific Publishers,, 0376-4710,"Indian Journal of Chemistry - Section A Inorganic, Physical, Theoretical and Analytical Chemistry",2014, 53, N/A, 992, 995,,,
Edison Humberto Osorio López,Thermoluminescence glow curves analysis of pure and CeO2-doped Li2O-Al2O3-SiO2 glass ceramics,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, 10.1016/j.jlumin.2008.12.020, 0022-2313,Journal of Luminescence,2009, 129, 7, 657, 660,,,
Edison Humberto Osorio López,Structure and stability of the Si4Lin (n = 1¿7) binary clusters,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, 10.1016/j.cplett.2011.11.078, 0009-2614,Chemical Physics Letters,2012, 522, 19, 67, 71,,,
Edison Humberto Osorio López,Is Al2Cl6 Aromatic? Cautions in Superficial NICS Interpretation,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, American Chemical Society,  10.1021/jp403465f, 1520-5215,Journal of Physical Chemistry A,2013, 117, 26, 5529, 5533,,,
Edison Humberto Osorio López,Ultrasound-assisted phase-transfer catalysis method in an aqueous medium to promote the Knoevenagel reaction: Advantages over the conventional and microwave-assisted solvent-free/catalyst-free method,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv,  10.1016/j.ultsonch.2014.02.021, 1873-2828,Ultrasonics Sonochemistry,2014, 21, 5, 1666, 1674,,,
Edison Humberto Osorio López,"Cytotoxic Activity of Amaryllidaceae Plants against Cancer Cells: Biotechnological, In Vitro, and In Silico Approaches",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules28062601, 1420-3049,Molecules,2023, 28, , 2601-1, 2619 18,,,
Edison Humberto Osorio López,"Piperonal chalcone derivative incorporating the pyrazolo[3,4-b]pyridine moiety; crystal structure, spectroscopic characterization and quantum chemical investigations",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Inglaterra, Royal Society of Chemistry, 10.1039/D2RA08101F, 2046-2069,RSC Advances,2023, 13, , 5197, 5207,,,
Edison Humberto Osorio López,Antioxidant activity and enzymatic of lichen substances: A study based on cyclic voltammetry and theoretical,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDISON HUMBERTO OSORIO LOPEZ",  Irlanda, Elsevier Bv, 10.1016/j.cbi.2023.110357, 0009-2797,Chemico-Biological Interactions,2023, 372, , 110357-1, 110357 10,,,
Edison Humberto Osorio López,Chemical Survey of Three Species of the Genus Rauhia Traub (Amaryllidaceae),Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/plants11243549, 2223-7747,Plants,2022, 11, , 3549-1, 3549 13,,,
Edison Humberto Osorio López,Antileishmanial Activity of Clinanthus milagroanthus S. Leiva & Meerow (Amaryllidaceae) Collected in Peru,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/plants12020322, 2223-7747,Plants,2023, 12, , 322-1, 322 13,,,
Edison Humberto Osorio López,"Chemical bonding analysis on MgEH15 (E = Sc and Y), highly stable clusters for hydrogen storage",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, 10.1016/j.cplett.2022.140240, 0009-2614,Chemical Physics Letters,2023, 811, , 140240-1, 140240 9,,,
Edison Humberto Osorio López,In vitro and in silico analysis of galanthine from Zephyranthes carinata as an inhibitor of acetylcholinesterase,Artículo - Publicado en revista especializada,"EDISON HUMBERTO OSORIO LOPEZ, NATALIE CHARLOTTE CORTES RENDON, OLIMPO JOSE GARCIA BELTRAN",  Países Bajos, Elsevier Masson, 10.1016/j.biopha.2022.113016, 0753-3322,Biomedicine and Pharmacotherapy,2022, 150, , 113016, 113016 9,,,
Edison Humberto Osorio López,"Synthesis, characterization, crystal and molecular structure and theoretical study of N-(naphthalen-1-yl)-2-(piperidin-1-yl) acetamide, a selective butyrylcholinesterase inhibitor",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, 10.1016/j.molstruc.2021.131544, 0022-2860,Journal of Molecular Structure,2022, 1248, , 131544-1, 131544 10,,,
Edison Humberto Osorio López,"Crystal structure, Hirshfeld surface analysis and DFT studies of N-(4-acetylphenyl)quinoline-3-carboxamide",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, 10.1016/j.molstruc.2021.131162, 0022-2860,Journal of Molecular Structure,2021, 1246, , 131162-1, 131162 6,,,
Edison Humberto Osorio López,Synthesis multicomponent based on o‐tolyl‐isocyanide; cholinesterase inhibitors and computational studies,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, 10.1016/j.molstruc.2022.133307, 0022-2860,Journal of Molecular Structure,2022, 15, , 133307, 133307 10,,,
Edison Humberto Osorio López,Exploring the potential energy surface of small lead clusters using the gradient embedded genetic algorithm and an adequate treatment of relativistic effects,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Royal Society of Chemistry, 10.1039/C7RA11449D, 2046-2069,RSC Advances,2018, 8, , 145, 152,,,
Edison Humberto Osorio López,The effects of halogen elements on the opening of an icosahedral B 12 framework,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, AIP (American Institute of Physics) Press, 10.1063/1.4998948, 1089-7690,Journal of Chemical Physics,2017, 147, , 144302-1, 144302 5,,,
Edison Humberto Osorio López,Exploiting electronic strategies to stabilize a planar tetracoordinate carbon in cyclic aromatic hydrocarbons,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Royal Society of Chemistry,  10.1039/C7CC06248F, 1359-7345,Chemical Communications,2017, 53, , 12112, 12112,,,
Edison Humberto Osorio López,"Stable NCNgNSi (Ng=Kr, Xe, Rn) Compounds with Covalently Bound C-Ng-N Unit: Possible Isomerization of NCNSi through the Release of the Noble Gas Atom",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Wiley-V C H Verlag Gmbh, 10.1002/chem.201705112, 1521-3765,Chemistry - A European Journal,2018, 24, , 2, 11,,,
Edison Humberto Osorio López,Alkaloids of Amaryllidaceae as Inhibitors of Cholinesterases (AChEs and BChEs): An Integrated Bioguided Study,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos," John Wiley & Sons, Inc.", 10.1002/pca.2736, 1099-1565,Phytochemical Analysis,2018, 29, , 217, 227,,,
Edison Humberto Osorio López,"Hippeastrum reticulatum (Amaryllidaceae): Alkaloid Profiling, Biological Activities and Molecular Docking",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules22122191, 1420-3049,Molecules,2017, 22, , 2191-1, 2191 14,,,
Edison Humberto Osorio López,"Boron Nanowheels with Axles Containing Noble Gas Atoms: Viable Noble Gas Bound M©B10- Clusters (M=Nb, Ta)",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Wiley-V C H Verlag Gmbh, 10.1002/chem.201705790, 1521-3765,Chemistry - A European Journal,2018, 24, , 3590, 3598,,,
Edison Humberto Osorio López,Amaryllidaceae alkaloids as agents with protective effects against oxidative neural cell injury,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Pergamon-Elsevier Science Ltd, 10.1016/j.lfs.2018.04.026, 0024-3205,Life Sciences,2018, 15, , 54, 65,,,
Edison Humberto Osorio López,Theobroma cacao L. compounds: Theoretical study and molecular modeling as inhibitors of main SARS-CoV-2 protease,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Francia, Elsevier Masson, 10.1016/j.biopha.2021.111764, 0753-3322,Biomedicine and Pharmacotherapy,2021, 140, , 111764-1, 11764 13,,,
Edison Humberto Osorio López,Theoretical design of stable hydride clusters: isoelectronic transformation in the EnAl4n-nH7+n series,Artículo - Publicado en revista especializada,"EDISON HUMBERTO OSORIO LOPEZ, FRANKLIN FERRARO GOMEZ",  Reino Unido, Royal Society of Chemistry, 10.1039/C7RA01422H, 2046-2069,RSC Advances,2017, 7, , 16069, 16077,,,
Edison Humberto Osorio López,Ligand-Supported E3 Clusters (E=Si¿Sn),Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Alemania, Wiley-V C H Verlag Gmbh, 10.1002/chem.201700494, 1521-3765,Chemistry - A European Journal,2017, 23, , 7463, 7473,,,
Edison Humberto Osorio López,Structure¿antioxidant activity relationships in boldine and glaucine: a DFT study,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDISON HUMBERTO OSORIO LOPEZ",  Reino Unido, Royal Society of Chemistry, 10.1039/D0NJ04028B, 1369-9261,New Journal of Chemistry,2021, 45, , 590, 596,,,
Edison Humberto Osorio López,Alkaloids of Phaedranassa dubia (Kunth) J.F. Macbr. and Phaedranassa brevifolia Meerow (Amaryllidaceae) from Ecuador and its cholinesterase-inhibitory,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, 10.1016/j.sajb.2020.09.007, 0254-6299,South African Journal of Botany,2021, 136, , 91, 99,,,
Edison Humberto Osorio López,Double-Ring Epimerization in the Biosynthesis of Clavulanic Acid,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, American Chemical Society, 10.1021/acs.jpca.0c05427, 1520-5215,Journal of Physical Chemistry A,2020, 124, 45, 9413, 9426,,,
Edison Humberto Osorio López,The importance of dynamics studies on the design of sandwich structures: a CrB24 case,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Royal Society of Chemistry, 10.1039/C6CP02445A, 1463-9076,Physical Chemistry Chemical Physics,2016, 18, , 18336, 18341,,,
Edison Humberto Osorio López,Dynamical behavior of boron clusters,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Royal Society of Chemistry, 10.1039/C6NR06383G, 2040-3372,Nanoscale,2016, 8, , 17639, 17644,,,
Edison Humberto Osorio López,Structure and Bonding of Alkali-Metal Pentalenides,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, American Chemical Society, 10.1021/acs.organomet.6b00768, 1520-6041,Organometallics,2017, 36, 2, 310, 317,,,
Edison Humberto Osorio López,"Insights on the structural and electronic properties of ScCn+, YCn+, LaCn+ (n = 3¿6) systems",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Alemania, Springer Netherlands,  10.1007/s00214-016-1976-8, 1432-2234,Theoretical Chemistry Accounts,2016, 135, , 212-01, 212 10,,,
Edison Humberto Osorio López,Why CpAl-Cr(CO) 5 is linear while CpIn-Cr(CO) 5 is not? Understanding the structure and bonding of the CpE-Cr(CO) 5 (E = Group 13 element) complexes,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Alemania, Springer Netherlands, 10.1007/s00214-016-1993-7, 1432-2234,Theoretical Chemistry Accounts,2016, 135, 240, 1, 8,,,
Edison Humberto Osorio López,Understanding the Central Location of a Hexagonal Hole in a B36 Cluster,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Wiley - V C H Verlag GmbbH & Co., 10.1002/asia.201601106, 1861-471X,Chemistry - An Asian Journal,2016, 11, , 3220, 3224,,,
Edison Humberto Osorio López,Planar pentacoordinate carbon atoms embedded in a metallocene framework,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Royal Society of Chemistry, 10.1039/C6CC08273D, 1364-548X,Chemical Communications,2017, 53, , 138, 141,,,
Edison Humberto Osorio López,Revisiting the Rearrangement of Dewar Thiophenes,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules25020284, 1420-3049,Molecules,2020, 25, , 284-1, 284 14,,,
Edison Humberto Osorio López,Unique magnetic shielding and bonding in Pnicogen nortricyclane Zintl clusters,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Países Bajos, Elsevier Science Bv, 10.1016/j.cplett.2020.137414, 0009-2614,Chemical Physics Letters,2020, 749, , 137414-1, 137414 5,,,
Edison Humberto Osorio López,Chemical Profiling and Cholinesterase Inhibitory Activity of Five Phaedranassa Herb. (Amaryllidaceae) Species from Ecuador,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules25092092, 1420-3049,Molecules,2020, 25, , 2092-1, 2092 12,,,
Edison Humberto Osorio López,Mechanistic insights into the phosphoryl transfer reaction in cyclin-dependent kinase 2: A QM/MM study,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, Public Library of Science, 10.1371/journal.pone.0215793, 1932-6203,PLoS ONE,2019, 14, 9, 1, 22,,,
Edison Humberto Osorio López,Theoretical Study of the Antioxidant Activity of Quercetin Oxidation Products,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDISON HUMBERTO OSORIO LOPEZ",  Suiza, Frontiers Media S.A., 10.3389/fchem.2019.00818, 2296-2646,Frontiers in Chemistry,2019, 7, , 818-1, 818 10,,,
Edison Humberto Osorio López,Carbon rings decorated with group 14 elements: new aromatic clusters containing planar tetracoordinate carbon,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ, , Royal Society of Chemistry, 10.1039/C9NJ01022J, 1369-9261,New Journal of Chemistry,2019, 43, , 6781, 6785,,,
Edison Humberto Osorio López,"Structural, thermodynamic and kinetic factors in the desorption/absorption of a hydrogen molecule in the M3AlH10−xNa (M = Be or Mg; x = 0 or 2) hydrides",Artículo - Publicado en revista especializada,"EDISON HUMBERTO OSORIO LOPEZ, FRANKLIN FERRARO GOMEZ, CACIER ZILAHY HADAD ARRIAGADA, OLIMPO JOSE GARCIA BELTRAN, LEIDY CAROLINA GIRALDO BARRERA",  Reino Unido, Royal Society of Chemistry, 10.1039/C9NJ02326G, 1369-9261,New Journal of Chemistry,2019, 43, , 18041, 18048,,,
Edison Humberto Osorio López,"Antiaging activity, molecular docking, and prediction of percutaneous absorption parameters of quinoline¿hydrazone hybrids",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Estados Unidos, Birkhäuser Boston, 10.1007/s00044-019-02427-0, 1554-8120,Medicinal Chemistry Research,2019, 28, 11, 1959, 1973,,,
Edison Humberto Osorio López,Exploring the Potential Energy Surface of Trimetallic Deltahedral Zintl Ions: Lowest-Energy [Sn6Ge2Bi]3¿ and [(Sn6Ge2Bi)2]4¿ Structures,Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ, , American Chemical Society, 10.1021/acs.inorgchem.9b01206, 0020-1669,Inorganic Chemistry,2019, 58, 15, 10057, 10064,,,
Edison Humberto Osorio López,"Cyanide¿isocyanide isomerization: stability and bonding in noble gas inserted metal cyanides (metal = Cu, Ag, Au)",Artículo - Publicado en revista especializada,EDISON HUMBERTO OSORIO LOPEZ,  Reino Unido, Royal Society of Chemistry,  10.1039/C8CP02837K, 1463-9084,Physical Chemistry Chemical Physics,2018, 20, , 18491, 18502,,,
