Grupo,Nombre del producto,Tipo,Autores,Lugar,Editorial,DOI,ISSN,Revista,Año,Volumen,Fasciculo,Página inicial,Página final,Palabras,Area,Sectores
NATURATU,"Coffee plantation soil characterization using a multi-method approach near the volcano Nevado del Ruiz, Colombian Central Cordillera", Publicado en revista especializada, BLANCA MYRIAM SALGUERO LONDONO,Colombia, Earth Sciences Research Journal ,10.15446/esrj.v25n3.79170, 2339-3459, Earth Sciences Research Journal , 2021,25 ,NA , 263 , 273,,,
NATURATU,"Caracterización florística de la Reserva Natural de la Sociedad Civil Covadonga, Cundinamarca, Colombia", Publicado en revista especializada," KAREN TATIANA MARIN MORENO, MICHEL ESTEFAN AGUDELO, ALFREDO JOSE TORRES BENITEZ",Colombia, Boletin Cientifico del Centro de Museos ,10.17151/bccm.2021.25.2.1, 0123-3068, Boletin Cientifico del Centro de Museos , 2021,25 ,2 , 13 , 29,,,
NATURATU,Optical properties of B2O3-CaF2 glass-ceramics doped with silver nanoparticles and praseodymium ions, Publicado en revista especializada," LUZ PATRICIA NARANJO RIANO, CID DE ARAUJO, LUCIANA KASSAB",Países Bajos, Journal of Luminescence ,10.1016/j.jlumin.2021.118225, 0022-2313, Journal of Luminescence , 2021,238 , , 118225 , 118230,,,
NATURATU,REPORT ON THE PREDATION OF PALE-BREASTED THRUSH EGGS BY THE ARIEL TOUCAN IN BRAZIL: FAILURE OF THE ANTI-PREDATORY STRATEGY., Publicado en revista especializada, YAIR GUILLERMO MOLINA MARTINEZ,Colombia, Acta Biologica Colombiana ,10.15446/abc.v26n2.86700, 1900-1649, Acta Biologica Colombiana , 2021,26 ,2 , 278 , 282,,,
NATURATU,"Reply to 'Comment on ""Two blocks connected by a string with variable tension: a dynamic case""", Publicado en revista especializada, HERNAN JAVIER HERRERA SUAREZ,Reino Unido, Physics Education ,10.1088/1361-6552/abd10c, 0031-9120, Physics Education , 2021,56 ,2 , 028003 , 028009,,,
NATURATU,"Systematic review on the biology, ecology, genetic diversity and parasite transmission potential of Panstrongylus geniculatus (Latreille 1811) in Latin America", Revisión (Survey)," RICARDO JOSE VIVAS MEDINA, JORGE ENRIQUE GARCIA MELO, FELIPE GUHL NANNETTI, DIANA CAROLINA HERNANDEZ CASTRO, NATALIA VELASQUEZ ORTIZ, JUAN DAVID RAMIREZ GONZALEZ, JULIO CESAR CARRANZA MARTINEZ, GUSTAVO ADOLFO VALLEJO",Brasil, Memorias do Instituto Oswaldo Cruz ,10.1590/0074-02760200528, 0074-0276, Memorias do Instituto Oswaldo Cruz , 2021,116 ,NA , 1 , 18,,,
NATURATU,"Molecular characterization of the spectacled caiman (Caiman crocodilus) in the upper Magdalena River basin, Colombia: Demographic and phylogeographic insights.", Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Systematics and Biodiversity ,10.1080/14772000.2021.1968975, 1478-0933, Systematics and Biodiversity , 2021,19 ,8 , 1040 , 1048,,,
NATURATU,From the river to the ocean: mitochondrial DNA analyses provide evidence of spectacled caimans (Caiman crocodilus Linnaeus 1758) mainland-insular dispersal, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Biological Journal of the Linnean Society ,10.1093/biolinnean/blab094, 1095-8312, Biological Journal of the Linnean Society , 2021,134 ,2 , 486 , 497,,,
NATURATU,Population ecology of the spectacled caiman (Caiman crocodilus) in the Apaporis River middle basin, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Ecosphere ,10.1002/ecs2.3532, 2150-8925, Ecosphere , 2021,12 ,5 , 1 , 15,,,
NATURATU,Structure¿antioxidant activity relationships in boldine and glaucine: a DFT study, Publicado en revista especializada," EDISON HUMBERTO OSORIO LOPEZ, OLIMPO JOSE GARCIA BELTRAN, LINA MARIA RUIZ HINCAPIE, OSVALDO YANEZ, WILLIAM TIZNADO, CARLOS ARECHE",Reino Unido, New Journal of Chemistry ,10.1039/d0nj04028b, 1144-0546, New Journal of Chemistry , 2021,45 , , 590 , 596,,,
NATURATU,Deciphering the diet of a wandering spider (Phoneutria boliviensis; Araneae: Ctenidae) by DNA metabarcoding of gut contents, Publicado en revista especializada," LIDA MARCELA FRANCO PEREZ, DIEGO SIERRA RAMIREZ, CARLOS PRADA QUIROGA, JUAN CARLOS VALENZUELA ROJAS, JULIO CESAR GONZALEZ GOMEZ, GIOVANY GUEVARA CARDONA",Inglaterra, Ecology and Evolution ,10.1002/ece3.7320, 2045-7758, Ecology and Evolution , 2021,11 ,11 , 5950 , 5965,,,
NATURATU,Reply to 'Comment on ¿Two blocks connected by a string with variable tension: a dynamic case¿ ', Publicado en revista especializada," HERNAN JAVIER HERRERA SUAREZ, MAXIMILIANO MACHADO HIGUERA, JOSE HERMAN MUNOZ NUNGO",Reino Unido, Physics Education ,10.1088/1361-6552/abd10c, 0031-9120, Physics Education , 2021,56 ,2 , 1 , 3,,,
NATURATU,Species delimitation reveals an underestimated diversity of Andean catfishes of the family Astroblepidae (Teleostei: Siluriformes), Publicado en revista especializada," LUZ ENEIDA OCHOA ORREGO, JORGE ENRIQUE GARCIA MELO, JAVIER MALDONADO OCAMPO, JUAN GABRIEL ALBORNOZ GARZON, FRANCISCO ANTONIO VILLA NAVARRO, ARMANDO ORTEGA LARA",Brasil, Neotropical Ichthyology ,10.1590/1982-0224-2020-0048, 1982-0224, Neotropical Ichthyology , 2020,18 ,4 , 1 , 19,,,
NATURATU,"Distribution and habitat use intensity of the Neotropical Otter (Lontra longicaudis Olfers, 1818) in a Colombian hydroelectric dam", Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Revista de Biologia Tropical ,10.15517/RBT.V68IS2.44348, 2215-2075, Revista de Biologia Tropical , 2020,68 ,S2 , 177 , 189,,,
NATURATU,Improving the ferromagnetic exchange coupling in hard τ-Mn53.3Al45.0C1.7 and soft Mn50B50 magnetic alloys, Publicado en revista especializada, JUAN SEBASTIAN TRUJILLO HERNANDEZ,Alemania, Applied Physics A: Materials Science and Processing ,10.1007/s00339-020-04025-z, 0947-8396, Applied Physics A: Materials Science and Processing , 2020,126 ,N/A , 1 , 10,,,
NATURATU,Theoretical and experimental study of FeSi on magnetic and phase properties, Publicado en revista especializada," JEFERSON FERNANDO PIAMBA JIMENEZ, INES CAROLINA ORTEGA PORTILLA, RAIZA OJALIJU HERNANDEZ BRAVO, J M GONZALEZ, JESUS ANSELMO TABARES, GERMAN ANTONIO PEREZ ALCAZAR, JUAN MANUEL ALVARADO",, Applied Physics A: Materials Science and Processing ,10.1007/s00339-020-04038-8, 1432-0630, Applied Physics A: Materials Science and Processing , 2020,126 , ,  , ,,,
NATURATU,Distribution and habitat use intensity of the neotropical otter (Lontra longicaudis) in a Colombian hydroelectric dam, Publicado en revista especializada," LIDA MARCELA FRANCO PEREZ, GIOVANY GUEVARA CARDONA, SERGIO ALEJANDRO BALAGUERA REINA",Costa Rica, Revista de Biologia Tropical ,10.15517/RBT.V68IS2.44348, 0034-7744, Revista de Biologia Tropical , 2020,68 ,2 , 177 , 189,,,
NATURATU,Tracking a voyager: mitochondrial DNA analyses reveal mainland-insular dispersal of an American crocodile (Crocodylus acutus) across the Caribbean, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Biological Journal of the Linnean Society ,10.1093/biolinnean/blaa096, 1095-8312, Biological Journal of the Linnean Society , 2020,131 ,1 , 163 , 171,,,
NATURATU,Individual identification patterns as a monitoring strategy for American crocodiles: Tayrona National Natural Park as a study case, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Amphibia - Reptilia ,10.1163/15685381-bja10033, 1568-5381, Amphibia - Reptilia , 2020,41 ,4 , 1 , 8,,,
NATURATU,"Notes on the feeding habits of a wandering spider, Phoneutria boliviensis (Arachnida: Ctenidae)", Publicado en revista especializada," LIDA MARCELA FRANCO PEREZ, GIOVANY GUEVARA CARDONA, JUAN CARLOS VALENZUELA ROJAS, JULIO CESAR GONZALEZ GOMEZ, LUIS FERNANDO GARCIA HERNANDEZ",Estados Unidos, Journal of Arachnology ,10.1636/0161-8202-48.1.43, 0161-8202, Journal of Arachnology , 2020,48 ,43 , 43 , 48,,,
NATURATU,"Unveiling the mystery: Assessing the evolutionary trajectory of the Apaporis caiman population (Caiman crocodilus apaporiensis, Medem 1955) via mitochondrial molecular makers.", Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Biological Journal of the Linnean Society ,10.1093/biolinnean/blaa096, 1095-8312, Biological Journal of the Linnean Society , 2020,131 ,1 , 163 , 171,,,
NATURATU,Effect of nitrogenation on the intrinsic magnetic properties of the compounds (Nd1-xCex)1.1Fe10CoTi, Publicado en revista especializada, JUAN SEBASTIAN TRUJILLO HERNANDEZ,, IEEE Transactions on Magnetics ,10.1109/TMAG.2020.3020094, 1941-0069, IEEE Transactions on Magnetics , 2020,N/A ,N/A , 1 , 7,,,
NATURATU,experimental realisation of tunable ferroelectric/superconductor (BTO/YBCO)N/STO 1D photonic crystals in the whole visible spectrum, Publicado en revista especializada, LUZ ESTHER GONZALEZ REYES,Inglaterra, Scientific Reports ,10.1038/s41598-020-69811-4, 2045-2322, Scientific Reports , 2020,10 , , 13083 , 13095,,,
NATURATU,"The crystal structure of 1-carboxy-2-(1H-indol-3-yl)-N,N,N-trimethylethan-1-ammonium chloride, C14H19N2O2Cl", Publicado en revista especializada," CARLOS ARECHE, OLIMPO JOSE GARCIA BELTRAN, ANTONIO GALDAMEZ",Alemania, Zeitschrift für Kristallographie - New Crystal Structures ,10.1515/ncrs-2020-0240, 2197-4578, Zeitschrift für Kristallographie - New Crystal Structures , 2020,235 , , 1183 , 1185,,,
NATURATU,"Structural, Magnetic and Mechanical Properties of Nd16 (Fe76−xCox)B8 0 ≤ x ≤ 25 Alloys", Publicado en revista especializada, JUAN SEBASTIAN TRUJILLO HERNANDEZ,Suiza, Applied Sciences (Switzerland) ,10.3390/app10165656, 2076-3417, Applied Sciences (Switzerland) , 2020,10 ,16 , 1 , 12,,,
NATURATU,Two blocks connected by a string with variable tension: a dynamic case, Publicado en revista especializada," HERNAN JAVIER HERRERA SUAREZ, MAXIMILIANO MACHADO HIGUERA, JOSE HERMAN MUNOZ NUNGO",, Physics Education ,10.1088/1361-6552/ab9956, 0031-9120, Physics Education , 2020,55 ,5 , 1 , 5,,,
NATURATU,Nilpotent Jacobians and Almost Global Stability, Publicado en revista especializada," ALVARO CASTANEDA GONZALEZ, MAXIMILIANO MACHADO HIGUERA",Estados Unidos, Journal of Dynamics and Differential Equations ,10.1007/s10884-020-09875-y, 1572-9222, Journal of Dynamics and Differential Equations , 2020,32 ,3 , 1 , 16,,,
NATURATU,Two blocks connected by a string with variable tension: a dynamic case, Publicado en revista especializada," HERNAN JAVIER HERRERA SUAREZ, JOSE HERMAN MUNOZ NUNGO, MAXIMILIANO MACHADO HIGUERA",Reino Unido, Physics Education ,10.1088/1361-6552/ab9956, 0031-9120, Physics Education , 2020,55 ,5 , 055022 , 055027,,,
NATURATU,Effects of residual doses of neonicotinoid (imidacloprid) on metabolic rate of queen honey bees Apis mellifera (Hymenoptera: Apidae), Publicado en revista especializada, LIDA MARCELA FRANCO PEREZ,, Apidologie ,10.1007/s13592-020-00787-w, 0044-8435, Apidologie , 2020,51 , , 1091 , 1099,,,
NATURATU,Improvement of the Turajlic Method for the Estimation of Gaussian Noise in Images, Publicado en revista especializada," MANUEL GUILLERMO FORERO VARGAS, CARLOS ANTONIO JACANAMEJOY JAMIOY",, Lecture Notes In Computer Science ,10.1007/978-3-030-49076-8_11, 0302-9743, Lecture Notes In Computer Science , 2020,12088 , , 108 , 117,,,
NATURATU,Tracing the metabolic rift in Colombia's greengrocer: an environmental history of the Anaime Valley, Publicado en revista especializada, RICHARD CLAYTON DOUGHMAN III,España, Historia Agraria ,10.26882/histagrar.080e03d, 1139-1472, Historia Agraria , 2020,80 ,N/A , 1 , 35,,,
NATURATU,Sexual dimorphism in the biomechanical and toxicological performance in prey incapacitation of two morphologically distinct scorpion species (Chactas sp. and Centruroides sp.), Publicado en revista especializada," LUIS FERNANDO GARCIA HERNANDEZ, LIDA MARCELA FRANCO PEREZ, JUAN CARLOS VALENZUELA ROJAS, JULIO CESAR GONZALEZ GOMEZ, GIOVANY GUEVARA CARDONA",Inglaterra, Biological Journal of the Linnean Society ,10.1093/biolinnean/blz146, 1095-8312, Biological Journal of the Linnean Society , 2020,129 , , 190 , 198,,,
NATURATU,Mössbauer spectroscopy in the system (Nd1-xCex)1.1Fe10CoTi with ThMn12 structure, Publicado en revista especializada, JUAN SEBASTIAN TRUJILLO HERNANDEZ,, Hyperfine Interactions ,10.1007/s10751-020-01716-0, 1572-9540, Hyperfine Interactions , 2020,241 ,44 , 1 , 7,,,
NATURATU,Biosystem Analysis of the Hypoxia Inducible Domain Family Member 2A: Implications in Cancer Biology, Publicado en revista especializada," OLIMPO JOSE GARCIA BELTRAN, WILLIAM TIZNADO, OSVALDO YANEZ, LINA MARIA RUIZ HINCAPIE, NATALIE CHARLOTTE CORTES RENDON",Suiza, Genes ,10.3390/genes11020206, 2073-4425, Genes , 2020,11 , , 1 , 20,,,
NATURATU,A selective thioxothiazolidin-coumarin probe for Hg2+ based on its desulfurization reaction. Exploring its potential for live cell imaging, Publicado en revista especializada," OLIMPO JOSE GARCIA BELTRAN, MARCIAL ANTONIO FUENTES ESTRADA, MARGARITA ALIAGA, DIEGO LUIS DURANGO RESTREPO",Reino Unido, Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy ,10.1016/j.saa.2019.117372, 1386-1425, Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy , 2020,224 , , 1 , 7,,,
NATURATU,Electronic band structure of silver low-index surfaces: a tight-binding study, Publicado en revista especializada," HERNAN JAVIER HERRERA SUAREZ, RITO DANIEL OLGIN MELO, ALBERTO RUBIO PONCE",Canadá, Canadian Journal of Physics ,10.1139/cjp-2019-0218, 1208-6045, Canadian Journal of Physics , 2020,98 ,5 , 488 , 496,,,
NATURATU,The effect of temperature on candidate gene expression in the brain of honey bee Apis mellifera (Hymenoptera: Apidae) workers exposed to neonicotinoid imidacloprid, Publicado en revista especializada, LIDA MARCELA FRANCO PEREZ,Estados Unidos, Journal of Thermal Biology ,10.1016/j.jtherbio.2020.102696, 0306-4565, Journal of Thermal Biology , 2020,93 , , 102696 , 102697,,,
NATURATU,"Fishes from the Río Alvarado drainage, Upper Río Magdalena Basin, Colombia", Publicado en revista especializada," JUAN GABRIEL ALBORNOZ GARZON, EDWIN ORLANDO LOPEZ DELGADO, JORGE ENRIQUE GARCIA MELO, FRANCISCO ANTONIO VILLA NAVARRO",Bulgaria, Check List ,10.15560/16.5.1181, 1809-127X, Check List , 2020,16 ,5 , 1181 , 1198,,,
NATURATU,"Diversidad, especificidad de forófito y preferencias microambientales de líquenes cortícolas de un bosque subandino en la región Centro de Colombia", Publicado en revista especializada," NICOLAS ZARATE ARIAS, MIGUEL MORENO, ALFREDO JOSE TORRES BENITEZ",Colombia, Revista de la Academia Colombiana de Ciencias Exactas,10.18257/raccefyn.886, 0370-3908, Revista de la Academia Colombiana de Ciencias Exactas, 2019,43 ,169 , 737 , 745,,,
NATURATU,Rediscovering the Apaporis caiman (Caiman crocodilus apaporiensis): Notes from a long-waited expedition. Journal of Herpetology, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Journal of Herpetology ,10.1670/19-028, 1937-2418, Journal of Herpetology , 2019,53 ,4 , 310 , 315,,,
NATURATU,"Diversidad, especificidad de forófito y preferencias microambientales de líquenes cortícolas de un bosque subandino en la región Centro de Colombia", Publicado en revista especializada," ALFREDO JOSE TORRES BENITES, MIGUEL CESAR MORENO PALACIOS",Colombia, Revista de la Academia Colombiana de Ciencias Exactas,10.18257/raccefyn.886, 0370-3908, Revista de la Academia Colombiana de Ciencias Exactas, 2019,43 ,169 , 737 , 745,,,
NATURATU,SYMMETRY IN THE SYSTEM OF TWO BLOCKS CONNECTED BY A STRING WITH VARIABLE TENSION, Publicado en revista especializada," JOSE HERMAN MUNOZ NUNGO, HERNAN JAVIER HERRERA SUAREZ, DAVID BENITEZ MOJICA",Cuba, Revista Cubana de Fisica ,, 0253-9268, Revista Cubana de Fisica , 2019,36 ,2 , 139 , 143,,,
NATURATU,Movement behavior of the Monito del monte (Dromiciops gliroides): new insights into the ecology of a unique marsupial, Publicado en revista especializada," GIOVANY GUEVARA CARDONA, LIDA MARCELA FRANCO PEREZ",Chile, Revista Chilena de Historia Natural ,10.1186/s40693-019-0088-y, 0717-6317, Revista Chilena de Historia Natural , 2019,92 ,8 , 1 , 7,,,
NATURATU,"Structural, thermodynamic and kinetic factors in the desorption/absorption of a hydrogen molecule in the M3AlH10−xNa (M = Be or Mg; x = 0 or 2) hydrides", Publicado en revista especializada," EDISON HUMBERTO OSORIO LOPEZ, OLIMPO JOSE GARCIA BELTRAN",Reino Unido, New Journal of Chemistry ,10.1039/C5NJ00162E, 1369-9261, New Journal of Chemistry , 2019,39 , , 18041 , 18048,,,
NATURATU,Theoretical Study of the Antioxidant Activity of Quercetin Oxidation Products, Publicado en revista especializada," OLIMPO JOSE GARCIA BELTRAN, WILLIAM TIZNADO, BRUCE CASSELS NIVEN, OSVALDO YANEZ, EDISON HUMBERTO OSORIO LOPEZ",Suiza, Frontiers in Chemistry ,10.3389/fchem.2019.00818, 2296-2646, Frontiers in Chemistry , 2019,7 , , 1 , 10,,,
NATURATU,"Prey and Venom Eficacy of Male and Female Wandering Spider, Phoneutria boliviensis (Araneae: Ctenidae)", Publicado en revista especializada," LIDA MARCELA FRANCO PEREZ, JULIO CESAR GONZALEZ GOMEZ, GIOVANY GUEVARA CARDONA, JUAN CARLOS VALENZUELA ROJAS, LUIS FERNANDO GARCIA HERNANDEZ",Suiza, Toxins ,10.3390/toxins11110622, 2072-6651, Toxins , 2019,622 ,N/A , 622 , 634,,,
NATURATU,"Simultaneous determination of tartrazine, sunset yellow and allura red in foods using a new cobalt-decorated carbon paste electrode", Publicado en revista especializada," JOHISNER PENAGOS LLANOS, OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL",Colombia, Journal Of Electroanalytical Chemistry ,10.1016/j.jelechem.2019.113517, 0022-0728, Journal Of Electroanalytical Chemistry , 2019,852 ,N/A , 1 , 9,,,
NATURATU,"A new species of Pimelodella Eigenmann & Eigenmann, 1888 (Siluriformes: Heptapteridae) from the Sierra Nevada de Santa Marta, Colombia", Publicado en revista especializada," JUAN GABRIEL ALBORNOZ GARZON, JORGE ENRIQUE GARCIA MELO, FRANCISCO ANTONIO VILLA NAVARRO",, Zootaxa ,10.11646/466848, 1175-5326, Zootaxa , 2019,4 , , 562 , 574,,,
NATURATU,Regional conservation priorities for crocodylians in Bolivia, Publicado en revista especializada, SERGIO ALEJANDRO BALAGUERA REINA,, Journal Of Nature Conservation ,10.1016/j.jnc.2019.125753, 0970-5945, Journal Of Nature Conservation , 2019,51 ,N/A , 1 , 13,,,
NATURATU,"Low-energy collective electronic excitations in LiC6,SrC6, and BaC6", Publicado en revista especializada, JUAN PABLO ECHEVERRY ENCISO,, Physical Review B - Condensed Matter and Materials Physics ,10.1103/115137, 1098-0121, Physical Review B - Condensed Matter and Materials Physics , 2019,100 , , 155137 , 155149,,,
NATURATU,Image Feature Detection Based on Phase Congruency by Monogenic Filters with New Noise Estimation, Publicado en revista especializada," CARLOS ANTONIO JACANAMEJOY JAMIOY, MANUEL GUILLERMO FORERO VARGAS, NOHORA MENESES CASAS",, Lecture Notes In Computer Science ,10.1007/978-3-030-31332-6_50, 0302-9743, Lecture Notes In Computer Science , 2019,11867 , , 577 , 588,,,
NATURATU,"A New Pristella (Characiformes: Characidae) from the Río Orinoco Basin, Colombia, with a Redefinition of the Genus", Publicado en revista especializada," JUAN GABRIEL ALBORNOZ GARZON, JORGE ENRIQUE GARCIA MELO, FRANCISCO ANTONIO VILLA NAVARRO",Estados Unidos, Copeia ,10.1643/CI-18-147, 1938-5110, Copeia , 2019,107 ,3 , 439 , 446,,,
NATURATU,A Single-Phase Transformer-Based Cascaded Asymmetric Multilevel Inverter With Balanced Power Distribution, Publicado en revista especializada," CARLOS ANTONIO JACANAMEJOY JAMIOY, DIEGO FERNANDO SALAZAR D ANTONIO, OSWALDO LOPEZ SANTOS, LUIS MARTINEZ SALAMERO",, IEEE Access ,10.1109/ACCESS.2019.2930230, 2169-3536, IEEE Access , 2019,7 , ,  98182 , 98196,,,
NATURATU,Thermal Transport Measurements of LaCoO3 and SrTiO3, Publicado en revista especializada," ALEXANDER CORTES SOTO, JUAN SEBASTIAN TRUJILLO HERNANDEZ, JEFERSON FERNANDO PIAMBA JIMENEZ, WILSON LOPERA MUNOZ, PEDRO ANTONIO PRIETO PULIDO",Suiza, Journal of Superconductivity and Novel Magnetism ,10.1007/s10948-018-4840-3, 1557-1939, Journal of Superconductivity and Novel Magnetism , 2019,31 ,N/A , 1 , 4,,,
NATURATU,Thermal Transport Measurements of LaCoO3 and SrTiO3, Corto (Resumen), JUAN SEBASTIAN TRUJILLO HERNANDEZ,Estados Unidos, Journal of Superconductivity and Novel Magnetism ,10.1007/s10948-018-4840-3, 1557-1939, Journal of Superconductivity and Novel Magnetism , 2019,32 ,5 , 1367 , 1370,,,
NATURATU,Structural and Magnetic Properties Study of Fe50Si50 Powders with Different Microparticle Sizes, Publicado en revista especializada, JUAN SEBASTIAN TRUJILLO HERNANDEZ,Estados Unidos, Journal of Superconductivity and Novel Magnetism ,10.1007/s10948-018-4853-y, 1557-1939, Journal of Superconductivity and Novel Magnetism , 2019,32 ,5 , 1383 , 1388,,,
NATURATU,Carbon Paste Composite with Co3O4 as a New Electrochemical Sensor for the Detection of Allura Red by Reduction, Publicado en revista especializada," EDGAR ORLANDO NAGLES VIDAL, OLIMPO JOSE GARCIA BELTRAN, JOHN JADY HURTADO BELALCAZAR",Alemania, Electroanalysis ,10.1002/elan.201800550, 1521-4109, Electroanalysis , 2019,31 , , 695 , 703,,,
NATURATU,"Mulinum crassifolium Phil; Two New Mulinanes, Gastroprotective Activity and Metabolomic Analysis by UHPLC-Orbitrap Mass Spectrometry", Publicado en revista especializada," OLIMPO JOSE GARCIA BELTRAN, MARIO SIMIRGIOTIS, BEATRIZ SEPULVEDA, CARLOS ARECHE",Suiza, Molecules ,10.3390/molecules24091673, 1420-3049, Molecules , 2019,23 , , 1673 , 1675,,,
NATURATU,Evidence of exchange coupling in T-MnAlC/FeCo system, Publicado en revista especializada, JUAN SEBASTIAN TRUJILLO HERNANDEZ,Reino Unido, Journal of Magnetism and Magnetic Materials ,10.1016/j.jmmm.2018.10.069, 0304-8853, Journal of Magnetism and Magnetic Materials , 2019,473 ,1 , 221 , 227,,,
NATURATU,A Note on the Phase Congruence Method in Image Analysis, Publicado en revista especializada," MANUEL GUILLERMO FORERO VARGAS, CARLOS ANTONIO JACANAMEJOY JAMIOY",, Lecture Notes In Computer Science ,10.1007/978-3-030-13469-3_45, 0302-9743, Lecture Notes In Computer Science , 2019,11401 ,N/A , 384 , 391,,,
NATURATU,Carbon Paste Composite With Co3O4 as a New Electrochemical Sensor For the Detection of Allura Red by Reduction., Publicado en revista especializada," EDGAR ORLANDO NAGLES VIDAL, OLIMPO JOSE GARCIA BELTRAN, JOHISNER PENAGOS LLANOS",, Journal Of Electroanalytical Chemistry ,10.1002/201800710, 1572-6657, Journal Of Electroanalytical Chemistry , 2019,4 ,N/A , 695 , 703,,,
NATURATU,Development of a microcomposite with single-walled carbon nanotubes and Nd2O3for determination of paracetamol in pharmaceutical dosage by adsorptive voltammetry, Publicado en revista especializada," OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR",China, Journal of Pharmaceutical Analysis ,10.1016/j.jpha.2018.11.005, 2095-1779, Journal of Pharmaceutical Analysis , 2019,9 , , 62 , 69,,,
